rating_avg,pages,author_followers
3.95,356 pages,1926
4.36,480 pages,3380
2.97,224 pages,9
3.99,300 pages,6160
3.5,287 pages,377
3.97,238 pages,34.1k
3.59,336 pages,5612
4.2,180 pages,717
4.07,324 pages,27
4.07,423 pages,1
3.39,197 pages,1727
4.22,512 pages,72k
3.82,482 pages,8515
4.02,385 pages,5206
4.07,32 pages,91
3.97,90 pages,213
3.48,272 pages,14
4.21,290 pages,370
4.03,448 pages,469
3.89,432 pages,1739
4.01,192 pages,171
3.6,240 pages,23
3.86,192 pages,290
4.29,384 pages,12.3k
3.89,256 pages,301
3.55,322 pages,1620
3.62,359 pages,4145
4.15,254 pages,1341
4.14,224 pages,423
3.78,294 pages,1559
3.99,337 pages,960
4.02,250 pages,52.5k
3.9,318 pages,1378
3.88,389 pages,406
3.48,576 pages,27
4.0,304 pages,129k
4.09,238 pages,255
3.89,145 pages,249
4.4,352 pages,9761
4.37,480 pages,17
4.39,1028 pages,2668
3.94,311 pages,2564
4.44,389 pages,28.5k
4.19,432 pages,433
3.97,384 pages,645
3.96,326 pages,19.5k
3.82,248 pages,290
3.83,406 pages,403
3.94,384 pages,1013
4.31,ebook,329
3.93,ebook,329
3.36,306 pages,4592
4.34,238 pages,396
3.93,512 pages,1372
3.43,240 pages,1255
4.0,323 pages,24.6k
3.72,262 pages,14.8k
4.25,352 pages,1791
4.25,368 pages,32
3.96,339 pages,7272
4.04,413 pages,5025
4.04,302 pages,24.2k
3.7,128 pages,2783
3.6,Paperback,6
3.88,304 pages,1464
4.43,528 pages,38.6k
4.05,314 pages,923
4.43,462 pages,38.1k
4.37,387 pages,8671
4.1,316 pages,5510
3.97,244 pages,5848
4.15,243 pages,12.3k
4.07,145 pages,27.2k
3.28,287 pages,16.3k
3.73,72 pages,21.7k
4.3,736 pages,5
3.46,410 pages,436
4.07,194 pages,56.3k
3.98,425 pages,4188
3.7,357 pages,4049
3.73,756 pages,74.9k
4.35,42 pages,449
3.99,224 pages,20.2k
4.08,288 pages,148
4.25,186 pages,11.2k
3.51,394 pages,2
4.0,436 pages,4109
3.3,416 pages,143
3.67,144 pages,9
3.4,400 pages,14
3.97,32 pages,104
3.97,213 pages,2248
4.12,569 pages,3659
4.3,1407 pages,4803
3.46,263 pages,15.4k
4.03,368 pages,17.1k
4.38,517 pages,11.3k
3.72,322 pages,909
3.36,303 pages,4864
4.33,288 pages,147
3.48,384 pages,8325
3.77,307 pages,4656
4.07,408 pages,775
3.82,278 pages,1300
4.24,224 pages,48
3.8,40 pages,5228
3.81,258 pages,1204
4.24,289 pages,26
4.22,354 pages,21.4k
4.23,320 pages,5812
4.39,886 pages,523
3.9,149 pages,24
4.09,368 pages,1137
3.85,274 pages,2454
3.73,256 pages,18
3.13,186 pages,4
3.95,240 pages,1668
4.04,496 pages,42
4.07,320 pages,739
3.83,368 pages,87
4.0,245 pages,4
4.05,256 pages,3024
4.21,288 pages,2346
4.18,204 pages,462
3.71,363 pages,499
4.26,287 pages,4252
4.02,120 pages,43.8k
3.41,311 pages,1626
4.13,160 pages,16k
4.27,144 pages,63
4.02,330 pages,2277
4.44,32 pages,202
3.48,251 pages,6852
4.14,624 pages,62
3.5,198 pages,5
3.81,256 pages,3489
4.08,256 pages,6816
3.7,361 pages,1599
3.47,256 pages,34
3.98,351 pages,3697
4.03,355 pages,6058
4.09,563 pages,896
3.79,416 pages,book3
4.1,360 pages,3398
3.84,368 pages,10.2k
3.71,254 pages,4722
3.74,188 pages,1989
4.05,354 pages,12.6k
3.76,261 pages,17.6k
4.23,384 pages,389
4.15,343 pages,11.1k
4.12,310 pages,191
3.31,288 pages,21
